"ID","COUNTRY","AFRADMIN2Code","AFRAdminname","AREATYPE","Lat","Long","MM","YY","LoAge","UpAge","Ex","Pf","PfPR2.10","METHOD","Time","Microscopy","Rainy","utm_x","utm_y","Prev"
43441,"Tanzania","TZA014","Arusha","Point",-3.34914,36.77718,5,2015,5,16,98,0,0,"RDT",173,0,0,919.837326593099,9628.76443799311,0
43455,"Tanzania","TZA014","Arusha","Point",-3.26699,36.56514,5,2015,5,16,120,0,0,"RDT",173,0,0,896.263862972071,9637.95185667153,0
43458,"Tanzania","TZA014","Arusha","Point",-3.47681,36.86647,5,2015,5,16,70,0,0,"RDT",173,0,0,929.722646252096,9614.58012692123,0
43461,"Tanzania","TZA014","Arusha","Point",-3.37137,36.84771,5,2015,5,16,104,0,0,"RDT",173,0,0,927.680906402929,9626.27087730886,0
43467,"Tanzania","TZA014","Arusha","Point",-3.22543,36.995,5,2015,5,16,56,0,0,"RDT",173,0,0,944.147954246067,9642.37693694475,0
43471,"Tanzania","TZA014","Arusha","Point",-3.56787,36.95436,5,2015,5,16,56,0,0,"RDT",173,0,0,939.465867875023,9604.44926677642,0
43472,"Tanzania","TZA014","Arusha","Point",-3.50506,36.80613,5,2015,5,16,90,0,0,"RDT",173,0,0,922.991996960118,9611.47766040534,0
43478,"Tanzania","TZA014","Arusha","Point",-3.33711,36.68948,5,2015,5,16,120,0,0,"RDT",173,0,0,910.078108074619,9630.13430241708,0
43479,"Tanzania","TZA014","Arusha","Point",-3.31434,36.60927,5,2015,5,16,88,0,0,"RDT",173,0,0,901.157757183514,9632.68958853737,0
43484,"Tanzania","TZA014","Arusha","Point",-3.245863,36.987484,8,2015,2,4.91666666666667,6,0,0,"RDT",176,0,1,943.301873926487,9640.11598151865,0
43485,"Tanzania","TZA014","Arusha","Point",-3.4541,37.019346,8,2015,0.583333333333333,4.91666666666667,13,0,0,"RDT",176,0,1,946.75597017627,9617.02559520568,0
43486,"Tanzania","TZA014","Arusha","Point",-3.390503,36.788138,8,2015,0.583333333333333,4.83333333333333,11,0,0,"RDT",176,0,1,921.039576596929,9624.17723707986,0
43487,"Tanzania","TZA014","Arusha","Point",-3.2097,36.631767,9,2015,0.5,4.58333333333333,14,0,0,"RDT",177,0,1,903.70416223181,9644.2711127345,0
43488,"Tanzania","TZA014","Arusha","Point",-3.351607,36.691844,8,2015,0.583333333333333,4.91666666666667,7,0,0,"RDT",176,0,1,910.335249700747,9628.52741042501,0
43489,"Tanzania","TZA014","Arusha","Point",-3.540701,36.777387,9,2015,0.5,4.66666666666667,17,0,0,"RDT",177,0,1,919.776123948443,9607.54211486518,0
43491,"Tanzania","TZA014","Arusha","Point",-3.32553,36.76691,5,2015,5,16,85,0,0,"RDT",173,0,0,918.703879663157,9631.3844627765,0
43497,"Tanzania","TZA014","Arusha","Point",-3.36998,36.65582,5,2015,5,16,101,0,0,"RDT",173,0,0,906.317106499989,9626.50729076576,0
43499,"Tanzania","TZA014","Arusha","Point",-3.37534,36.67386,5,2015,5,16,64,0,0,"RDT",173,0,0,908.323178779732,9625.90598267862,0
43500,"Tanzania","TZA014","Arusha","Point",-3.37238,36.6892,5,2015,5,16,120,0,0,"RDT",173,0,0,910.032183390127,9626.22740147898,0
43501,"Tanzania","TZA014","Arusha","Point",-3.356159,36.698634,8,2015,0.5,4.83333333333333,6,0,0,"RDT",176,0,1,911.089283354219,9628.02030316934,0
43502,"Tanzania","TZA014","Arusha","Point",-3.39475,36.684636,8,2015,0.583333333333333,4.58333333333333,14,0,0,"RDT",176,0,1,909.514656661266,9623.75131421486,0
43503,"Tanzania","TZA014","Arusha","Point",-3.381663,36.672194,8,2015,0.5,4.91666666666667,16,0,0,"RDT",176,0,1,908.135058490939,9625.20626990815,0
43504,"Tanzania","TZA014","Arusha","Point",-3.61787,35.65966,5,2015,5,16,55,0,0,"RDT",173,0,0,795.39821451569,9599.43439815432,0
43513,"Tanzania","TZA014","Arusha","Point",-3.42841,35.5605,5,2015,5,16,78,0,0,"RDT",173,0,0,784.430840491051,9620.43097488317,0
43514,"Tanzania","TZA014","Arusha","Point",-3.7331,35.55737,5,2015,5,16,74,0,0,"RDT",173,0,0,783.988668152541,9586.71624744233,0
43515,"Tanzania","TZA014","Arusha","Point",-3.28248,35.813,5,2015,5,16,120,0,0,"RDT",173,0,0,812.558787993603,9636.50341107962,0
43520,"Tanzania","TZA014","Arusha","Point",-3.44905,35.36095,5,2015,5,16,63,0,0,"RDT",173,0,0,762.236429967306,9618.20444490355,0
43523,"Tanzania","TZA014","Arusha","Point",-3.527971,35.657031,9,2015,0.583333333333333,4.83333333333333,21,0,0,"RDT",177,0,1,795.134689951742,9609.38386965141,0
43524,"Tanzania","TZA014","Arusha","Point",-3.34035,35.703865,9,2015,0.583333333333333,4.5,11,0,0,"RDT",177,0,1,800.401471062068,9630.13256038029,0
43530,"Tanzania","TZA014","Arusha","Point",-3.22223,36.36485,5,2015,5,16,97,0,0,"RDT",173,0,0,873.985439457274,9642.98537340026,0
43533,"Tanzania","TZA014","Arusha","Point",-2.84315,37.24129,5,2015,5,16,75,0,0,"RDT",173,0,0,971.7516287508,9684.64078407762,0
43534,"Tanzania","TZA014","Arusha","Point",-3.3993,36.50513,5,2015,5,16,78,0,0,"RDT",173,0,0,889.531236704507,9623.32177645276,0
43535,"Tanzania","TZA014","Arusha","Point",-3.4655,36.2514,5,2015,5,16,56,0,0,"RDT",173,0,0,861.269131096323,9616.09079176768,0
43543,"Tanzania","TZA014","Arusha","Point",-3.53323,35.92088,5,2015,5,16,78,0,0,"RDT",173,0,0,824.475900681983,9608.71373735391,0
43544,"Tanzania","TZA014","Arusha","Point",-3.287628,36.47002,10,2015,0.5,4,7,0,0,"RDT",178,0,1,885.667229980437,9635.70336015133,0
43545,"Tanzania","TZA014","Arusha","Point",-3.552966,36.099699,10,2015,2,4.83333333333333,10,0,0,"RDT",178,0,1,844.359078174384,9606.46431539112,0
43546,"Tanzania","TZA014","Arusha","Point",-3.024141,36.291396,10,2015,1,4.83333333333333,21,0,0,"RDT",178,0,1,865.878610748121,9664.94597900114,0
43547,"Tanzania","TZA014","Arusha","Point",-2.834179,37.258188,10,2015,0.666666666666667,4.75,21,0,0,"RDT",178,0,1,973.638754374121,9685.62827666424,0
43555,"Tanzania","TZA014","Arusha","Point",-2.61622,35.97457,5,2015,5,16,91,1,1.16156448619408,"RDT",173,0,0,830.730755421968,9710.20202777963,0.010989010989011
43559,"Tanzania","TZA014","Arusha","Point",-3.20985,35.45831,5,2015,5,16,96,0,0,"RDT",173,0,0,773.127662948178,9644.64373131979,0
43561,"Tanzania","TZA014","Arusha","Point",-2.04898,35.58972,5,2015,5,16,64,0,0,"RDT",173,0,0,788.010347146934,9773.065929375,0
43565,"Tanzania","TZA014","Arusha","Point",-1.90838,35.42318,5,2015,5,16,79,0,0,"RDT",173,0,0,769.492919979708,9788.65123854095,0
43566,"Tanzania","TZA014","Arusha","Point",-2.055632,35.632994,11,2015,1.16666666666667,4.75,10,0,0,"RDT",179,0,0,792.827035911013,9772.32195448932,0
43567,"Tanzania","TZA014","Arusha","Point",-2.13021,35.872748,11,2015,0.666666666666667,4.58333333333333,20,0,0,"RDT",179,0,0,819.507867910569,9764.02138942576,0
43568,"Tanzania","TZA014","Arusha","Point",-3.430883,35.126122,11,2015,0.75,4.91666666666667,26,0,0,"RDT",179,0,0,736.134070919444,9620.27567407325,0
43671,"Tanzania","TZA009","Dar es Salaam","Point",-6.84307,39.199228,10,2015,1.25,4.83333333333333,10,0,0,"RDT",178,0,1,1186.22154247561,9238.88122207546,0
43672,"Tanzania","TZA009","Dar es Salaam","Point",-6.907758,39.222257,9,2015,1.16666666666667,4.66666666666667,17,0,0,"RDT",177,0,1,1188.68705011155,9231.65487741324,0
43673,"Tanzania","TZA009","Dar es Salaam","Point",-6.954213,39.140101,9,2015,0.583333333333333,4.41666666666667,10,0,0,"RDT",177,0,1,1179.49095306845,9226.60894876293,0
43674,"Tanzania","TZA009","Dar es Salaam","Point",-6.839872,39.150381,9,2015,1.3,4.25,16,0,0,"RDT",177,0,1,1180.79763575794,9239.30679329073,0
43675,"Tanzania","TZA009","Dar es Salaam","Point",-6.837261,39.235568,9,2015,0.5,4.58333333333333,15,0,0,"RDT",177,0,1,1190.26881392506,9239.47473473649,0
43676,"Tanzania","TZA009","Dar es Salaam","Point",-6.826611,39.249123,9,2015,0.6,4.41666666666667,12,0,0,"RDT",177,0,1,1191.79085187599,9240.63942004276,0
43792,"Tanzania","TZA009","Dar es Salaam","Point",-6.776324,39.064105,9,2015,1,4.41666666666667,8,0,0,"RDT",177,0,1,1171.29972568809,9246.49334016655,0
43793,"Tanzania","TZA009","Dar es Salaam","Point",-6.655681,39.186081,9,2015,1.25,4.25,11,0,0,"RDT",177,0,1,1185.0259775041,9259.735928675,0
43794,"Tanzania","TZA009","Dar es Salaam","Point",-6.630457,39.120269,9,2015,0.666666666666667,2.41666666666667,9,0,0,"RDT",177,0,1,1177.74436158437,9262.63171231144,0
43795,"Tanzania","TZA009","Dar es Salaam","Point",-6.809555,39.109037,9,2015,1.08333333333333,4.91666666666667,11,0,0,"RDT",177,0,1,1176.24622371349,9242.7360524692,0
43796,"Tanzania","TZA009","Dar es Salaam","Point",-6.700249,39.134906,9,2015,0.5,4.75,17,0,0,"RDT",177,0,1,1179.27473729659,9254.85207788877,0
43797,"Tanzania","TZA009","Dar es Salaam","Point",-6.803974,39.249664,9,2015,1.16666666666667,4.58333333333333,17,0,0,"RDT",177,0,1,1191.88371355698,9243.1559444854,0
43798,"Tanzania","TZA009","Dar es Salaam","Point",-6.778,39.264881,9,2015,0.75,4.91666666666667,17,0,0,"RDT",177,0,1,1193.61272459333,9246.02243751394,0
43799,"Tanzania","TZA009","Dar es Salaam","Point",-6.812769,39.209655,9,2015,0.75,4.83333333333333,16,0,0,"RDT",177,0,1,1187.42398478952,9242.23552217043,0
43800,"Tanzania","TZA009","Dar es Salaam","Point",-6.75856,39.226783,9,2015,1.5,4.3,11,0,0,"RDT",177,0,1,1189.40547769635,9248.23886525129,0
43801,"Tanzania","TZA009","Dar es Salaam","Point",-6.812689,39.149812,9,2015,0.583333333333333,4.5,19,0,0,"RDT",177,0,1,1180.77312733214,9242.32988249379,0
43868,"Tanzania","TZA009","Dar es Salaam","Point",-6.872038,39.229589,9,2015,1.08333333333333,4,11,0,0,"RDT",177,0,1,1189.55387118848,9235.61621006168,0
43869,"Tanzania","TZA009","Dar es Salaam","Point",-6.91669,39.25116,9,2015,0.5,4.5,11,0,0,"RDT",177,0,1,1191.88592733027,9230.61937253129,0
43870,"Tanzania","TZA009","Dar es Salaam","Point",-6.856927,39.248254,9,2015,0.5,4.58333333333333,12,0,0,"RDT",177,0,1,1191.65027100121,9237.26945030572,0
43871,"Tanzania","TZA009","Dar es Salaam","Point",-6.893012,39.288931,9,2015,0.5,4.75,10,0,0,"RDT",177,0,1,1196.1184856963,9233.19706858554,0
43872,"Tanzania","TZA009","Dar es Salaam","Point",-6.919549,39.235094,9,2015,1.25,4.75,12,1,8.4396193242803,"RDT",177,0,1,1190.09634748064,9230.32498297164,0.0833333333333333
43873,"Tanzania","TZA009","Dar es Salaam","Point",-6.851374,39.272923,9,2015,0.666666666666667,4.9,21,0,0,"RDT",177,0,1,1194.4002514237,9237.85106017752,0
43874,"Tanzania","TZA009","Dar es Salaam","Point",-6.900156,39.267638,9,2015,0.8,4.58333333333333,17,2,12.1867869557457,"RDT",177,0,1,1193.74146329014,9232.43386788348,0.117647058823529
43875,"Tanzania","TZA009","Dar es Salaam","Point",-6.88323,39.247576,9,2015,0.666666666666667,4.66666666666667,19,0,0,"RDT",177,0,1,1191.53659523825,9234.34547001344,0
43915,"Tanzania","TZA019","Dodoma","Point",-6.23394,35.36016,5,2015,5,16,118,15,13.4213496541154,"RDT",173,0,0,761.076321729758,9310.0779167866,0.127118644067797
43916,"Tanzania","TZA019","Dodoma","Point",-5.75321,35.44304,5,2015,5,16,83,13,16.536454412545,"RDT",173,0,0,770.490779730486,9363.22992948494,0.156626506024096
43924,"Tanzania","TZA019","Dodoma","Point",-6.33658,36.00072,5,2015,5,16,120,2,1.76346608358557,"RDT",173,0,0,831.956346675002,9298.35449012451,0.0166666666666667
43926,"Tanzania","TZA019","Dodoma","Point",-6.89018,35.94782,5,2015,5,16,98,6,6.46252241409802,"RDT",173,0,0,825.733543218738,9237.10498020986,0.0612244897959184
43939,"Tanzania","TZA019","Dodoma","Point",-5.461963,35.912592,11,2015,1.16666666666667,4.58333333333333,8,0,0,"RDT",179,0,0,822.701900414865,9395.2247489544,0
43940,"Tanzania","TZA019","Dodoma","Point",-6.404046,35.908923,12,2015,0.916666666666667,4.41666666666667,9,0,0,"RDT",180,0,0,821.746941676798,9290.94430460992,0
43941,"Tanzania","TZA019","Dodoma","Point",-6.494254,35.946378,12,2015,0.666666666666667,4.5,10,0,0,"RDT",180,0,0,825.836997819516,9280.93473374635,0
43942,"Tanzania","TZA019","Dodoma","Point",-5.65481,35.666554,12,2015,0.833333333333333,4.91666666666667,11,0,0,"RDT",180,0,0,795.315730372112,9374.00902545141,0
43943,"Tanzania","TZA019","Dodoma","Point",-6.125279,35.403209,12,2015,1.83333333333333,4.33333333333333,11,0,0,"RDT",180,0,0,765.897451728502,9322.07967429952,0
43944,"Tanzania","TZA019","Dodoma","Point",-6.44492,36.16524,5,2015,5,16,70,1,1.51003383205232,"RDT",173,0,0,850.106556554797,9286.2506427654,0.0142857142857143
43957,"Tanzania","TZA019","Dodoma","Point",-6.040452,35.686055,10,2015,0.5,4.5,11,0,0,"RDT",178,0,1,797.273726066209,9331.31911917507,0
43958,"Tanzania","TZA019","Dodoma","Point",-6.249205,35.822029,10,2015,0.833333333333333,4.91666666666667,9,0,0,"RDT",178,0,1,812.217855117107,9308.13683193256,0
43959,"Tanzania","TZA019","Dodoma","Point",-6.212701,35.757304,10,2015,0.583333333333333,4.91666666666667,17,0,0,"RDT",178,0,1,805.069965263661,9312.21513785306,0
43960,"Tanzania","TZA019","Dodoma","Point",-6.075857,35.520361,10,2015,0.833333333333333,4.66666666666667,9,0,0,"RDT",178,0,1,778.898629256874,9327.48910912699,0
43961,"Tanzania","TZA019","Dodoma","Point",-5.06162,35.73754,5,2015,5,16,55,0,0,"RDT",173,0,0,803.479425534294,9439.62413069617,0
43962,"Tanzania","TZA019","Dodoma","Point",-5.35993,36.24129,5,2015,5,16,77,2,2.74551605827693,"RDT",173,0,0,859.229812498997,9406.33578944757,0.025974025974026
43963,"Tanzania","TZA019","Dodoma","Point",-5.08955,35.89342,5,2015,5,16,115,1,0.918691911808059,"RDT",173,0,0,820.76685469167,9436.45746459997,0.00869565217391304
43964,"Tanzania","TZA019","Dodoma","Point",-5.06042,35.68032,5,2015,5,16,117,3,2.70327734968807,"RDT",173,0,0,797.129642053472,9439.78345628235,0.0256410256410256
43973,"Tanzania","TZA019","Dodoma","Point",-5.06167,35.89367,5,2015,5,16,116,0,0,"RDT",173,0,0,820.808410127078,9439.5433676029,0
43974,"Tanzania","TZA019","Dodoma","Point",-4.71033,36.06517,5,2015,5,16,27,1,3.90708054447105,"RDT",173,0,0,840.023566150286,9478.35145653194,0.037037037037037
43977,"Tanzania","TZA019","Dodoma","Point",-4.60022,35.80404,5,2015,5,16,110,0,0,"RDT",173,0,0,811.070787705824,9490.66058922537,0
43978,"Tanzania","TZA019","Dodoma","Point",-5.06249,35.80289,5,2015,5,16,55,0,0,"RDT",173,0,0,810.731985033127,9439.49686010649,0
43980,"Tanzania","TZA019","Dodoma","Point",-5.38614,35.9147,5,2015,5,16,59,0,0,"RDT",173,0,0,822.976151150616,9403.6166593262,0
43981,"Tanzania","TZA019","Dodoma","Point",-4.49326,35.73187,5,2015,5,16,120,0,0,"RDT",173,0,0,803.100253140698,9502.52928498957,0
43982,"Tanzania","TZA019","Dodoma","Point",-4.726384,35.912846,11,2015,0.833333333333333,4.91666666666667,18,0,0,"RDT",179,0,0,823.098117578775,9476.64700720642,0
43983,"Tanzania","TZA019","Dodoma","Point",-4.903511,35.770286,11,2015,0.833333333333333,4.91666666666667,13,0,0,"RDT",179,0,0,807.18732223974,9457.10784510892,0
43984,"Tanzania","TZA019","Dodoma","Point",-4.616079,35.799732,11,2015,0.916666666666667,3.75,6,0,0,"RDT",179,0,0,810.585419652304,9488.90720083546,0
43985,"Tanzania","TZA019","Dodoma","Point",-5.086653,35.159451,12,2015,0.583333333333333,4.08333333333333,12,0,0,"RDT",180,0,0,739.326044867014,9437.09689972159,0
43986,"Tanzania","TZA019","Dodoma","Point",-5.218571,36.162738,11,2015,1.08333333333333,3.83333333333333,6,0,0,"RDT",179,0,0,850.592092650682,9422.03226936079,0
43992,"Tanzania","TZA019","Dodoma","Point",-6.02625,36.70624,5,2015,5,16,79,0,0,"RDT",173,0,0,910.368372435127,9332.22761498839,0
